Gender,Age,Helzberg Entrepreneurial Mentoring Program,Pipeline,Hackathon,UMKC E-Scholars,FastTrac,Red Nova Labs Venture Friday,KCSourceLink Events,KC Next,Think Big Partners (various programs),KC Tech Cocktail,Startup Weekend
Male,45-54,,,,,,,,,,,
Male,55-64,,,,,,,,,,,
Female,25-34,,,,,,,,,,,
Male,55-64,,,,,1,,,,,,
Male,25-34,,1,,,,,,,,,
Male,18-24,,,,,,,,,,,
Male,45-54,,1,,1,,1,1,,1,,1
Male,55-64,,,,,,,,,,,
Female,35-44,,1,1,1,,1,1,1,1,1,1
Male,35-44,,,,,,,,,,,
Male,45-54,,,,,,,,1,,1,
Male,25-34,,,,1,,,,,,,
Male,45-54,,,,,1,,,,,,1
Female,18-24,,,,,,,,,,1,
Female,25-34,,,,,,,,,,,
Female,55-64,,,,,,,,,,,
Male,35-44,,,,,1,,,,,,
Male,25-34,,1,,,,1,,1,,1,
Male,35-44,,,1,,,,,1,,,1
Male,25-34,,,,,,,,,,,
Male,25-34,,,,,,,,,,,
Male,25-34,,,,,,,,,,,
Female,35-44,,,1,,,,,,,,
Female,25-34,,,,,,,1,,,,
Male,35-44,,,,,,1,,,,1,
Male,25-34,,,,,,,,,,,
Male,45-54,,,,,,,,,,,
Male,25-34,,,,,,,,,,,
Male,35-44,,1,,,,,1,,1,,
Male,55-64,,,,,1,1,,,,,
Male,55-64,,,,,,,,,,,
Female,25-34,1,1,1,1,,,,1,,1,1
Female,25-34,,,,,,,,,,,
Male,35-44,,,1,,,,,,,1,
Male,18-24,,,,,,,,,,,
Male,25-34,,,,1,,,,,,,
Male,45-54,,,,,,1,,1,1,1,1
Male,25-34,,,,,,,,,,1,1
Female,45-54,,,,,,,1,,,,
Male,25-34,,,,,,,,,1,,1
Male,25-34,,,,,,,1,,,,
Male,35-44,,,,,,,,,,,1
Male,35-44,,,,,,,,,1,,1
Male,35-44,,,1,,,,,,1,,
Female,25-34,,,,1,,,,,,,
Male,25-34,,,,,,,,,,,
Male,18-24,,,,,,1,,,,,
Female,35-44,,,,,,,,,,,
Female,55-64,,,,,,,1,,1,,1
Male,55-64,,,,,,,,1,,,
Male,45-54,,,,,1,,,,,,
Male,25-34,,,,,,,,,1,,
Male,25-34,,,,,,,,,,,
Male,35-44,,,,1,1,1,,,,1,
Female,35-44,,,,,1,,,,,,
Male,45-54,,,,,,,,,,,
Female,25-34,,,,1,,1,,1,,,
Male,25-34,,1,,,,,,,1,,1
Male,45-54,,,,,,,1,,1,,
Female,45-54,,,,,,,,,,,
Male,45-54,,,,,,,,,,,
Male,35-44,,,,,,,,,,,
Male,55-64,,,,1,1,,1,,,,
Female,25-34,,,,,,,,,,,1
Female,35-44,,,,,,,,,,,
Male,45-54,,,,,1,1,,1,,,
Female,18-24,,,,,,,,,,,
Female,35-44,,,,,,,,,,,
Male,35-44,,,,,,,,,,,
Male,55-64,,,,,,,,1,,,
Female,25-34,,,,,,,,,,,
Female,45-54,,,,,,,1,,,,
Male,35-44,,,,,,,,,,,
Male,45-54,,,,,,,,,,,1
Female,25-34,,,,,,,,,,,
Male,45-54,,,,1,1,,1,,1,,
Female,45-54,,,1,,,,,,,,
Female,45-54,,,,,,,,,,,
Female,45-54,,,,,,,,,,,
Female,35-44,,,,,,,,,,,
Male,35-44,,,,,,,,1,,,
Male,45-54,,,,,,,,,,,
Male,35-44,,,,,,,,,,1,
Male,18-24,,,,,,,,,,,
Male,45-54,,,1,,,,1,1,1,1,1
Male,17 or younger,,,,,,,,,,,
Female,35-44,,,,,,,,,1,,
Female,18-24,,,,,,,,,,,
Male,35-44,,,,,,1,1,1,,1,1
Male,45-54,,,,,1,1,1,,1,1,1
Male,25-34,,,,,,,,,,,
Male,45-54,,1,,,,,1,,,,
Male,35-44,,,,,,1,,1,,1,
Male,18-24,,,,,,,,,,,
Female,25-34,,,1,,,,,,,,
Female,25-34,,,1,,,,,,,,
Male,55-64,,,1,,,,,,,,1
Male,35-44,,,,,,,,,,,
Male,55-64,,,,,1,,,,,,
Male,35-44,,,,,,,,,,,
Female,45-54,,,,,,,,,,,
Male,45-54,,,,,,,,,,,
Male,18-24,,,,,,,,,,,
Male,25-34,,,,,,,,1,,1,
Male,35-44,,,,1,,,,,,,
Male,25-34,,,,,,,,,,,
Male,35-44,,,,,,,,,,,
Male,18-24,,1,1,,,1,,,,,1
Male,35-44,,,,,,,,,,,
Male,65 or older,,,,,,,,,,,
Male,45-54,,,,,,,,,,,
Male,18-24,,,,,,,,,,,
Female,55-64,,,,,,,,,,,
Male,55-64,,,,1,1,,,,,,
Female,25-34,,,,,,,,,,,
Male,35-44,,,,,,,,,,,
N/A,N/A,1,9,12,12,13,14,15,15,15,16,19
