Please indicate your gender.,Does your company currently take in revenue?,"Helzberg Entrepreneurial Mentoring Program:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","Pipeline:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","Hackathon:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","UMKC E-Scholars:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","FastTrac:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","Red Nova Labs Venture Friday:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","KCSourceLink Events:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","KC Next:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","Think Big Partners (various programs):Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","KC Tech Cocktail:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply.","Startup Weekend:Is there any other event or program that you attend in [question(""value""), id=""44""]? Please select all that apply."
Male,,,,,,,,,,,,
Male,Yes,,,,,,,,,,,
Female,Yes,,,,,,,,,,,
Male,Yes,,,,,1,,,,,,
Male,,,1,,,,,,,,,
Male,,,,,,,,,,,,
Male,No,,1,,1,,1,1,,1,,1
Male,,,,,,,,,,,,
Female,No,,1,1,1,,1,1,1,1,1,1
Male,Yes,,,,,,,,,,,
Male,No,,,,,,,,1,,1,
Male,,,,,1,,,,,,,
Male,Yes,,,,,1,,,,,,1
Female,,,,,,,,,,,1,
Female,,,,,,,,,,,,
Female,Yes,,,,,,,,,,,
Male,Yes,,,,,1,,,,,,
Male,,,1,,,,1,,1,,1,
Male,Yes,,,1,,,,,1,,,1
Male,,,,,,,,,,,,
Male,Yes,,,,,,,,,,,
Male,Yes,,,,,,,,,,,
Female,,,,1,,,,,,,,
Female,Yes,,,,,,,1,,,,
Male,Yes,,,,,,1,,,,1,
Male,No,,,,,,,,,,,
Male,,,,,,,,,,,,
Male,,,,,,,,,,,,
Male,,,1,,,,,1,,1,,
Male,No,,,,,1,1,,,,,
Male,No,,,,,,,,,,,
Female,,1,1,1,1,,,,1,,1,1
Female,,,,,,,,,,,,
Male,,,,1,,,,,,,1,
Male,,,,,,,,,,,,
Male,No,,,,1,,,,,,,
Male,No,,,,,,1,,1,1,1,1
Male,Yes,,,,,,,,,,1,1
Female,No,,,,,,,1,,,,
Male,No,,,,,,,,,1,,1
Male,Yes,,,,,,,1,,,,
Male,,,,,,,,,,,,1
Male,Yes,,,,,,,,,1,,1
Male,,,,1,,,,,,1,,
Female,No,,,,1,,,,,,,
Male,Yes,,,,,,,,,,,
Male,No,,,,,,1,,,,,
Female,,,,,,,,,,,,
Female,Yes,,,,,,,1,,1,,1
Male,Yes,,,,,,,,1,,,
Male,No,,,,,1,,,,,,
Male,,,,,,,,,,1,,
Male,,,,,,,,,,,,
Male,Yes,,,,1,1,1,,,,1,
Female,Yes,,,,,1,,,,,,
Male,,,,,,,,,,,,
Female,,,,,1,,1,,1,,,
Male,Yes,,1,,,,,,,1,,1
Male,,,,,,,,1,,1,,
Female,,,,,,,,,,,,
Male,Yes,,,,,,,,,,,
Male,,,,,,,,,,,,
Male,Yes,,,,1,1,,1,,,,
Female,No,,,,,,,,,,,1
Female,,,,,,,,,,,,
Male,Yes,,,,,1,1,,1,,,
Female,,,,,,,,,,,,
Female,,,,,,,,,,,,
Male,No,,,,,,,,,,,
Male,Yes,,,,,,,,1,,,
Female,,,,,,,,,,,,
Female,,,,,,,,1,,,,
Male,,,,,,,,,,,,
Male,,,,,,,,,,,,1
Female,,,,,,,,,,,,
Male,No,,,,1,1,,1,,1,,
Female,No,,,1,,,,,,,,
Female,No,,,,,,,,,,,
Female,,,,,,,,,,,,
Female,,,,,,,,,,,,
Male,,,,,,,,,1,,,
Male,,,,,,,,,,,,
Male,Yes,,,,,,,,,,1,
Male,,,,,,,,,,,,
Male,,,,1,,,,1,1,1,1,1
Male,No,,,,,,,,,,,
Female,Yes,,,,,,,,,1,,
Female,,,,,,,,,,,,
Male,No,,,,,,1,1,1,,1,1
Male,Yes,,,,,1,1,1,,1,1,1
Male,Yes,,,,,,,,,,,
Male,Yes,,1,,,,,1,,,,
Male,,,,,,,1,,1,,1,
Male,,,,,,,,,,,,
Female,,,,1,,,,,,,,
Female,,,,1,,,,,,,,
Male,No,,,1,,,,,,,,1
Male,Yes,,,,,,,,,,,
Male,No,,,,,1,,,,,,
Male,,,,,,,,,,,,
Female,,,,,,,,,,,,
Male,No,,,,,,,,,,,
Male,,,,,,,,,,,,
Male,,,,,,,,,1,,1,
Male,No,,,,1,,,,,,,
Male,,,,,,,,,,,,
Male,,,,,,,,,,,,
Male,Yes,,1,1,,,1,,,,,1
Male,No,,,,,,,,,,,
Male,No,,,,,,,,,,,
Male,Yes,,,,,,,,,,,
Male,,,,,,,,,,,,
Female,Yes,,,,,,,,,,,
Male,Yes,,,,1,1,,,,,,
Female,,,,,,,,,,,,
Male,,,,,,,,,,,,
N/A,N/A,1,9,12,12,13,14,15,15,15,16,19
